代码,名称,现价,流通市值(亿),分类,蓄势相似度,拉升相似度,蓄势段涨幅,拉升段涨幅,匹配段DTW,匹配段相关,量能形态
603177,德创环保,10.370,21.2,刚启动(拉升初期),8.54,73.14,-0.0189,0.2275,1.5112,0.8838,1.0
000007,全新好,12.460,43.2,刚启动(拉升初期),12.9,73.11,0.0724,0.3833,1.431,0.8442,1.0
603358,华达科技,46.380,214.2,刚启动(拉升初期),20.31,73.09,0.2429,0.2389,1.1998,0.9277,0.4
002022,科华生物,5.540,28.5,刚启动(拉升初期),17.75,73.07,-0.0246,0.1036,1.3834,0.8501,1.0
002654,万润科技,13.660,115.5,刚启动(拉升初期),8.2,73.01,-0.0986,0.1944,1.2744,0.8792,0.7
603180,金牌家居,15.220,23.5,刚启动(拉升初期),8.06,72.94,-0.131,0.0861,1.5543,0.9052,1.0
603307,扬州金泉,25.840,25.1,刚启动(拉升初期),8.41,72.93,-0.0519,0.1785,1.0616,0.8825,0.4
600186,莲花控股,11.170,198.9,刚启动(拉升初期),13.16,72.89,0.1448,0.316,1.484,0.8614,1.0
301047,义翘神州,112.180,134.1,形态接近(观察),35.78,72.89,0.7659,0.6606,1.4971,0.8425,1.0
002655,共达电声,36.560,132.8,刚启动(拉升初期),12.51,72.88,-0.0275,0.5025,1.1946,0.9013,0.4
003042,中农联合,13.780,17.0,刚启动(拉升初期),15.21,72.79,-0.0973,0.1577,1.3742,0.835,1.0
300203,聚光科技,13.130,58.9,刚启动(拉升初期),8.86,72.76,0.0632,0.11,1.5303,0.8906,1.0
300268,佳沃食品,12.740,17.0,刚启动(拉升初期),15.44,72.7,-0.0443,0.2532,1.5774,0.8927,1.0
603391,力聚热能,68.640,15.6,刚启动(拉升初期),29.63,72.69,0.1508,0.3152,1.3212,0.8771,0.7
300381,溢多利,6.190,29.6,刚启动(拉升初期),8.34,72.69,-0.0663,0.1191,1.3625,0.9072,0.7
688687,凯因科技,18.210,31.1,刚启动(拉升初期),28.84,72.69,0.065,0.1757,1.4164,0.845,1.0
002706,良信股份,10.000,91.5,刚启动(拉升初期),11.11,72.66,-0.3138,0.146,1.558,0.8941,1.0
600713,南京医药,5.140,66.3,刚启动(拉升初期),30.53,72.65,0.0379,0.0421,1.5908,0.9142,1.0
603912,佳力图,8.310,45.1,刚启动(拉升初期),18.31,72.63,-0.0735,0.1768,1.5407,0.885,1.0
002696,百洋股份,5.920,19.8,刚启动(拉升初期),12.52,72.62,-0.0247,0.1813,1.5347,0.8823,1.0
688045,必易微,58.450,41.3,刚启动(拉升初期),12.19,72.58,-0.101,0.2092,1.5447,0.8823,1.0
600281,华阳新材,4.580,23.6,刚启动(拉升初期),18.39,72.58,-0.0552,0.1907,1.3712,0.826,1.0
